what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628030909
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628031517
activated,editor,org.eclipse.jst.jsp.ui,1.1.500.v201006030742,"org.eclipse.jst.jsp.core.jspsource.source",1308628031660
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1308628031661
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628031697
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308628034378
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628035985
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628035999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628036428
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628037290
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628050378
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308628055324
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308628055707
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308628056113
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308628056875
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308628057515
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628057998
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628060077
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628072151
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628072796
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628097796
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628104659
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628255191
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308628259611
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628265272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1308628267944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628267972
closed,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1308628268179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628270579
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308628271043
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628271100
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628273680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628276532
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628276797
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1308628282680
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.rename",1308628282681
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628282731
opened,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1308628319293
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1308628319581
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308628319619
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1308628321050
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628323372
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308628326795
opened,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628332497
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628332844
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308628333035
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628335672
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628339339
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628343057
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628346798
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628348669
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628350747
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628353754
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628356343
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628357532
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628367077
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628391710
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628403484
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628412012
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628413321
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628423194
executed,command,org.eclipse.wst.server.ui,1.1.203.v20100601,"org.eclipse.wst.server.launchShortcut.run",1308628424875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628424902
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1308628424987
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1308628425067
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628427946
closed,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1308628427946
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308628437644
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628437842
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308628438027
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628440329
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628443447
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628447170
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628449631
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628452755
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628453750
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628457113
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628459874
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628462708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628474023
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628494767
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628496702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628557494
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628559584
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308628564034
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628566672
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308628577471
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628578915
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628579953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628587923
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308628592747
opened,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1308628595404
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1308628595585
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308628595617
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1308628602443
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1308628614172
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308628616981
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1308628618381
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.findReplace",1308628619498
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628619529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308628619606
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628628165
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628637286
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628638224
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1308628638307
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1308628638308
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628638345
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628640821
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1308628640945
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1308628640946
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628641012
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628643226
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1308628644234
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1308628644234
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628644300
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308628649269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628649801
activated,editor,org.eclipse.wst.css.ui,1.0.500.v201004290328,"org.eclipse.wst.css.core.csssource.source",1308628649911
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1308628649912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628649958
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308628651331
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628652680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628653432
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628677638
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1308628680154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628682265
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628682756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628705124
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628705662
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628718308
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1308628721980
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628723383
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628749427
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628753399
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628753815
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628798858
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628800916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628803766
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628805027
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628806104
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1308628812186
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628813073
activated,editor,org.eclipse.wst.html.ui,1.0.500.v201006030742,"org.eclipse.wst.html.core.htmlsource.source",1308628813177
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1308628813177
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628813245
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1308628822397
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628829199
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628850807
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628859331
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628872221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628872820
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628883986
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1308628888764
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1308628890757
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628892637
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628896533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628904410
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628911194
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628911695
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628924598
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1308628928712
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1308628930667
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628932107
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628932461
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308628943949
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1308628948263
