what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1312594412849
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1312594412860
executed,command,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui.sync",1312594418949
opened,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1312594420192
opened,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.GenericHistoryView",1312594420341
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.repositories",1312594420475
activated,perspective,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.TeamSynchronizingPerspective",1312594420572
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312594420614
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1312594420697
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594420887
started,bundle,org.eclipse.jsch.ui,1.1.300.I20100505-1245,"org.eclipse.jsch.ui",1312594422772
started,bundle,org.eclipse.jpt.core,2.3.0.v201006020000,"org.eclipse.jpt.core",1312594423496
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594431276
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594432738
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594433364
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1312594438930
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594439022
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312594439206
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312594439303
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextEditor",1312594439304
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594439333
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594442363
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.400.v201006030400,"org.eclipse.jst.j2ee.J2EEPerspective",1312594442881
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.window.nextPerspective",1312594442921
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594442955
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1312594444210
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594450915
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594451811
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594452362
started,bundle,org.eclipse.wst.html.core,1.1.400.v201005261534,"org.eclipse.wst.html.core",1312594455563
executed,command,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui.commit",1312594485928
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594485947
executed,command,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui.sync",1312594489216
activated,perspective,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui.TeamSynchronizingPerspective",1312594489843
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1312594489875
activated,view,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.sync.views.SynchronizeView",1312594489942
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594490092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1312594493493
opened,editor,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.CompareEditor",1312594497005
